PTM#,Final determination,genetic match/notes,Determination in the field,Qualifier,DNA location,Extra DNA Sample,Date of Extraction,PCR results,CO1,psbA,rbcL,Voucher location,BOLDNumber,GenbankNumber,Red/Coralline/Green/Brown,Country,StateProvince,Locality,Date Collected,Reproductive Status,Field Notes,Accession #,Missing accession,Habitat,Depth,Fragments available?,Latitude,Longitude,Primary Collector,Other collectors,Determined by,Determination Date,Project
417,Bossiella reptans,,Bossiella reptans,,None,,2013-06-14,,F,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,reproductive; thin can crush between fingers; great specimen; gaps between intergenicula,A89738,,"subtidal, 5m, Large Boulders",5m,,,,,,,,
418,Pugetia fragilissima,sequence 100% match in BOLD,Salishia firma,,None,,,,,,,,,,Red,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,cystocarpic,,Y,"subtidal, 5m, Large Boulders",5m,,,,,,,,
419,Mesophyllum vancouveriense,,Pseudolithophyllum muricatum sp. #20,,None,,2013-06-07,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,foliose; with brynozoans growing under,A89740,,"subtidal, 5m, Large Boulders",5m,,,,,,,,
420,Corallina sp. 5frondescens,,Corallina officinalis,,None,,2013-06-07,,,,,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,"small, space between branches",A89741,,"subtidal, 5m, Large Boulders",5m,,,,,,,,
421,,DNA sample not in lab - not sure why,Red crust on clam shell,,None,Yes,,,,,,,,,Coralline,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,on clam shell,,Y,"subtidal, 5m, Large Boulders",5m,,,,,,,,
422,,CO1 sequences messy,Bonnemaisonia californica,,None,Yes,,,,,,,,,Red,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,very abundant,,Y,"subtidal, 8m, Large Boulders",8m,,,,,,,,
423,Bossiella schmittii,for phylogeny,Bossiella schmittii,,None,,2013-06-14,,FR,FR,FR,Herbarium,,,Coralline,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,> 10 conceptacles per intergenicula,A89744,,"subtidal, 8m, Large Boulders",8m,,,,,,,,
424,,CO1 sequence messy,Rhodoptilum plumosum,,None,,,,,,,,,,Red,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,,,Y,"subtidal, 8m, Large Boulders",8m,,,,,,,,
425,Peyssonnelia sp.8GWS,Peyssonnelia sp.8GWS,Peyssonnelia sp.,,None,,,,,,,Herbarium,,,Red,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,on rock,A89746,,"subtidal, 8m, Large Boulders",8m,,,,,,,,
426,Fryeella gardneri,Fryeella gardneri,Fryeella gardneri,,None,,,,,,,,,,Red,Canada,British Columbia,"Hakai, Wolf Beach - East Rocks",22-May-2013,,,,Y,"subtidal, 8m, Large Boulders",8m,,,,,,,,
